# ThriveSpace Synthetic Wellness & Burnout Prototype Dataset
# NOTICE: This dataset is synthetic and is used only to demonstrate the machine-learning pipeline.
# Model results must not be interpreted as clinical or diagnostic evidence.
# Target: 0 = Low Risk, 1 = Moderate Risk, 2 = Elevated Risk
sleep_hours,work_study_hours,stress_level,physical_activity_minutes,mood_rating,journal_sentiment,negative_emotion_frequency,synthetic_risk_index,risk_class
6.6,8.3,7,37.0,4,0.28,0.341,38.4,1
5.0,9.8,10,0.0,2,-0.282,0.865,78.8,2
5.0,13.6,8,17.0,2,0.308,0.584,71.7,2
7.0,8.3,6,18.0,4,0.357,0.284,38.2,1
7.8,6.9,2,49.0,4,0.283,0.0,16.1,0
6.2,10.5,9,0.0,3,-0.037,0.566,64.4,1
7.2,7.4,6,4.0,4,0.274,0.125,33.8,0
6.7,5.7,3,63.0,5,0.462,0.0,17.2,0
4.5,11.2,7,38.0,2,-0.492,0.422,66.6,1
8.7,6.1,6,17.0,4,0.197,0.146,28.9,0
4.9,9.5,9,5.0,1,-0.469,0.914,82.0,2
8.8,5.3,4,45.0,5,0.123,0.0,15.4,0
7.3,6.8,4,30.0,5,0.664,0.045,17.8,0
9.3,4.7,4,33.0,4,0.593,0.226,19.1,0
5.2,12.4,7,8.0,2,-0.468,0.562,69.9,2
3.0,8.8,7,20.0,2,-0.38,0.507,70.1,2
9.1,5.5,2,75.0,4,0.57,0.0,10.1,0
5.8,11.5,8,0.0,2,-0.082,0.605,65.7,1
9.2,6.2,4,48.0,3,0.056,0.065,26.8,0
8.4,5.0,3,46.0,5,0.942,0.0,4.6,0
5.8,10.2,9,17.0,2,-0.142,0.659,63.8,1
7.4,4.6,1,38.0,4,0.474,0.0,14.6,0
4.6,7.6,5,37.0,2,0.095,0.314,50.7,1
4.3,11.2,10,28.0,1,-0.678,0.89,82.5,2
7.4,8.8,2,44.0,4,0.368,0.0,24.8,0
5.0,6.1,1,22.0,4,0.137,0.0,27.1,0
5.5,8.0,6,19.0,3,0.01,0.319,47.3,1
6.2,8.3,4,43.0,3,-0.211,0.167,39.2,1
8.6,4.7,4,48.0,5,0.792,0.0,8.1,0
4.4,11.1,10,19.0,1,-0.598,0.86,83.9,2
6.3,6.4,5,30.0,4,-0.05,0.0,29.5,0
5.7,10.0,3,24.0,3,-0.174,0.189,42.0,1
9.5,6.5,4,41.0,5,0.431,0.0,14.3,0
5.7,12.0,8,0.0,1,-0.724,0.628,75.1,2
7.8,9.2,6,39.0,2,-0.218,0.485,47.3,1
4.6,11.2,8,0.0,2,-0.524,0.554,73.2,2
3.9,11.3,9,0.0,3,0.218,0.556,69.6,2
6.1,5.7,5,69.0,2,-0.566,0.421,41.1,1
9.2,8.5,3,26.0,4,0.515,0.0,20.2,0
7.4,6.6,7,0.0,4,0.526,0.317,36.3,1
9.4,5.5,4,42.0,4,-0.009,0.296,23.5,0
7.5,6.1,6,29.0,3,-0.222,0.326,36.9,1
6.2,8.5,4,40.0,3,0.064,0.176,39.0,1
3.6,11.7,8,0.0,2,-0.451,0.524,76.5,2
5.4,9.4,3,25.0,3,0.102,0.072,40.5,1
8.0,6.6,5,48.0,4,0.236,0.232,29.0,0
5.8,13.9,9,5.0,2,-0.393,0.784,75.7,2
5.4,10.0,7,32.0,2,0.016,0.371,58.1,1
4.7,8.9,7,14.0,4,0.086,0.396,55.2,1
5.6,8.8,5,23.0,4,0.439,0.232,42.8,1
9.0,4.1,2,56.0,5,0.828,0.0,1.9,0
4.6,12.1,10,0.0,2,-0.142,0.841,85.9,2
6.1,11.7,6,19.0,3,0.041,0.363,54.7,1
7.2,6.1,3,52.0,4,0.228,0.0,20.8,0
4.9,12.8,9,37.0,1,-1.0,0.649,78.9,2
6.1,12.6,9,6.0,2,-0.314,0.507,69.7,2
6.5,10.6,9,0.0,2,-0.416,0.769,68.2,2
4.3,10.2,10,12.0,2,-0.032,0.794,75.0,2
8.4,7.6,2,45.0,5,0.435,0.0,10.9,0
6.8,8.0,5,0.0,3,0.179,0.111,44.1,1
4.4,9.6,7,34.0,1,-0.51,0.531,69.4,2
3.8,12.9,8,0.0,2,-0.566,0.519,77.3,2
9.0,8.4,5,55.0,4,0.288,0.0,21.4,0
4.6,10.8,8,23.0,2,-0.249,0.507,68.7,2
5.5,9.8,10,0.0,1,-0.346,0.982,81.6,2
3.9,12.9,7,9.0,3,0.206,0.412,60.7,1
6.4,8.2,6,14.0,2,-0.448,0.372,49.9,1
4.7,11.2,8,19.0,3,-0.097,0.356,61.5,1
9.7,3.4,3,58.0,3,-0.413,0.055,22.4,0
7.9,6.1,3,32.0,5,0.501,0.0,9.5,0
4.5,9.7,5,24.0,4,0.359,0.082,43.1,1
7.6,11.5,6,10.0,3,0.129,0.439,44.3,1
5.5,9.1,7,9.0,3,0.053,0.242,58.0,1
3.1,9.4,7,1.0,2,-0.116,0.437,69.8,2
4.9,8.7,3,36.0,3,0.017,0.198,39.3,1
6.9,6.1,1,58.0,5,0.601,0.0,7.0,0
5.4,11.2,8,0.0,1,-0.88,0.803,80.6,2
3.7,10.9,8,0.0,1,-0.688,0.705,80.5,2
8.3,9.6,6,0.0,4,0.617,0.175,32.3,0
6.1,8.3,5,26.0,3,0.04,0.236,44.2,1
3.8,9.0,10,47.0,2,-0.044,0.757,70.8,2
6.2,7.0,6,41.0,2,0.073,0.453,44.9,1
5.6,5.1,5,37.0,3,0.16,0.314,37.2,1
6.4,8.4,5,13.0,4,0.466,0.2,35.7,1
5.2,9.9,7,0.0,1,-0.51,0.692,72.4,2
6.9,5.4,3,61.0,3,-0.117,0.03,28.1,0
6.5,9.3,4,0.0,4,0.481,0.037,33.1,0
8.2,10.7,5,14.0,3,-0.0,0.191,40.9,1
4.1,10.9,8,31.0,1,-0.536,0.743,75.1,2
4.5,10.1,10,30.0,1,-0.353,0.792,76.6,2
8.7,3.3,4,54.0,5,0.521,0.0,9.4,0
6.5,10.5,4,0.0,2,-0.328,0.185,51.8,1
5.3,11.9,5,18.0,2,0.319,0.251,54.1,1
6.2,9.3,5,9.0,2,-0.431,0.38,54.8,1
7.7,6.1,4,37.0,4,0.544,0.029,19.0,0
8.9,5.3,3,58.0,3,-0.074,0.133,17.8,0
6.4,9.0,6,36.0,4,0.489,0.12,37.3,1
5.8,9.0,6,61.0,3,0.303,0.243,40.4,1
7.6,11.8,6,17.0,3,0.333,0.303,47.7,1
8.2,5.1,3,54.0,5,0.622,0.0,6.8,0
5.6,13.3,8,8.0,2,-0.274,0.502,69.9,2
7.5,7.2,2,44.0,3,0.061,0.0,20.3,0
7.6,8.5,6,19.0,2,-0.313,0.418,46.8,1
5.6,12.5,10,0.0,2,-0.368,0.733,80.5,2
8.8,7.1,3,31.0,5,0.423,0.0,15.9,0
8.4,8.5,8,19.0,2,-0.34,0.509,50.6,1
10.1,5.2,2,54.0,4,0.294,0.0,11.2,0
6.9,6.6,7,0.0,3,0.191,0.298,46.8,1
6.4,6.7,7,0.0,3,0.442,0.292,47.8,1
8.3,5.1,3,55.0,4,0.328,0.086,16.9,0
8.5,5.7,3,60.0,4,0.589,0.058,10.7,0
7.2,6.4,5,31.0,2,-0.411,0.416,42.8,1
4.3,10.8,8,5.0,1,-0.773,0.792,81.0,2
6.2,6.4,3,31.0,3,0.306,0.027,27.9,0
5.1,10.3,10,22.0,3,-0.155,0.707,67.7,2
5.3,10.6,10,25.0,2,-0.261,0.695,71.6,2
8.0,6.1,2,36.0,2,0.162,0.0,23.1,0
7.7,8.1,5,67.0,4,0.604,0.251,26.6,0
5.9,10.6,5,44.0,3,-0.053,0.324,46.6,1
7.7,8.1,6,40.0,4,-0.001,0.271,32.1,0
5.5,11.9,8,19.0,3,-0.046,0.38,60.4,1
5.6,14.6,9,7.0,2,-0.481,0.627,77.4,2
6.7,6.9,5,34.0,3,0.089,0.316,37.0,1
7.4,7.4,5,6.0,4,0.099,0.18,30.9,0
7.7,7.6,5,45.0,3,-0.124,0.158,30.4,0
7.2,7.7,5,11.0,4,0.37,0.052,29.2,0
7.7,6.7,1,58.0,4,0.703,0.0,6.2,0
7.4,10.5,7,6.0,3,-0.044,0.333,50.2,1
10.2,2.1,3,30.0,4,0.154,0.089,15.7,0
5.1,7.5,8,59.0,2,-0.263,0.56,54.4,1
6.5,8.3,5,16.0,4,0.333,0.099,29.0,0
8.4,9.8,5,21.0,3,-0.423,0.089,41.8,1
8.2,7.4,4,35.0,4,0.414,0.051,21.9,0
8.8,5.0,2,54.0,5,0.576,0.0,6.8,0
4.2,9.7,10,22.0,1,-0.166,0.746,79.5,2
8.0,5.6,4,17.0,3,0.237,0.127,30.3,0
7.3,7.3,3,61.0,5,0.444,0.0,18.1,0
7.7,5.7,3,43.0,4,0.125,0.0,21.7,0
4.4,9.8,9,17.0,2,-0.208,0.835,72.3,2
9.0,8.9,1,28.0,4,0.129,0.0,18.8,0
6.0,10.5,8,39.0,3,-0.225,0.583,56.9,1
5.0,11.4,10,20.0,2,0.236,0.733,75.7,2
8.3,7.8,3,12.0,3,0.168,0.094,32.4,0
6.1,12.4,9,13.0,1,-0.203,0.859,78.5,2
7.2,7.9,5,51.0,4,0.628,0.084,23.5,0
7.3,7.0,7,17.0,3,0.362,0.337,41.2,1
8.8,5.1,2,35.0,4,0.68,0.0,15.8,0
3.9,10.9,9,17.0,2,-0.028,0.683,76.0,2
6.3,4.1,9,9.0,4,0.068,0.565,45.9,1
4.7,11.0,9,0.0,2,-0.285,0.73,76.2,2
8.7,3.8,4,51.0,5,0.714,0.0,11.6,0
6.2,9.1,8,19.0,2,-0.293,0.504,62.2,1
7.1,3.2,2,54.0,4,0.052,0.0,11.8,0
4.8,10.8,8,11.0,2,-0.42,0.506,69.0,2
5.1,10.2,8,0.0,1,-0.308,0.654,70.9,2
9.6,4.1,3,52.0,4,0.233,0.071,18.5,0
7.7,9.5,4,41.0,4,0.584,0.018,23.9,0
8.4,8.6,2,44.0,4,0.134,0.0,18.9,0
4.6,10.7,8,25.0,2,-0.014,0.539,63.5,1
6.2,13.1,10,9.0,2,-0.17,0.737,78.8,2
8.9,5.8,2,51.0,5,0.783,0.0,4.3,0
9.1,4.3,3,44.0,4,0.145,0.0,11.4,0
6.8,10.0,6,20.0,4,-0.037,0.164,41.2,1
8.2,6.8,3,70.0,4,0.121,0.0,15.8,0
5.9,11.8,6,0.0,1,-0.498,0.571,66.3,1
7.8,6.2,3,54.0,5,0.574,0.0,7.4,0
7.4,4.0,2,43.0,5,0.848,0.0,7.3,0
6.2,8.3,5,27.0,3,0.036,0.161,42.0,1
8.3,8.6,7,21.0,3,-0.062,0.441,44.3,1
7.2,10.3,6,20.0,4,0.294,0.371,37.8,1
7.3,7.0,6,19.0,3,0.443,0.356,37.7,1
5.0,10.0,9,7.0,1,-0.12,0.826,77.8,2
4.3,13.1,8,6.0,2,-0.751,0.581,80.5,2
5.5,5.9,7,26.0,3,0.314,0.358,47.4,1
8.1,7.4,3,31.0,5,0.475,0.0,15.2,0
9.0,5.2,3,72.0,5,0.641,0.0,7.7,0
6.8,8.3,4,17.0,3,0.229,0.26,39.7,1
8.9,4.7,4,54.0,5,0.692,0.0,8.1,0
8.9,6.2,1,40.0,4,0.372,0.0,13.1,0
6.1,5.0,6,0.0,3,-0.262,0.412,46.0,1
8.0,7.3,3,38.0,5,0.739,0.0,8.1,0
6.2,9.8,6,39.0,2,-0.481,0.503,49.5,1
5.7,10.7,9,10.0,3,-0.179,0.707,67.2,2
7.5,5.9,3,36.0,5,0.327,0.0,15.9,0
5.0,13.6,8,13.0,2,0.131,0.592,69.6,2
7.3,5.9,2,92.0,3,0.062,0.058,19.3,0
8.0,6.8,1,37.0,3,-0.028,0.0,18.5,0
7.3,3.3,2,30.0,4,0.194,0.0,16.5,0
6.9,8.2,7,13.0,3,-0.441,0.329,50.0,1
3.7,10.0,8,20.0,2,0.089,0.42,62.3,1
6.8,8.8,3,35.0,3,-0.089,0.033,32.4,0
4.3,12.1,8,3.0,2,-0.436,0.602,76.1,2
5.4,8.2,5,25.0,2,-0.654,0.355,52.1,1
8.5,4.5,4,64.0,5,0.577,0.0,13.7,0
7.1,9.4,5,26.0,5,0.748,0.054,32.8,0
8.8,4.7,4,32.0,5,0.609,0.0,17.5,0
5.2,9.5,7,23.0,2,0.049,0.429,58.7,1
6.6,8.5,5,45.0,2,-0.512,0.362,46.8,1
7.7,9.7,5,26.0,2,-0.076,0.389,45.2,1
6.2,11.0,9,0.0,1,-0.47,0.801,69.4,2
7.3,7.7,5,5.0,3,0.053,0.251,40.6,1
3.8,9.1,10,34.0,2,-0.333,0.71,72.9,2
5.6,11.9,6,18.0,3,-0.057,0.23,52.0,1
5.2,5.7,4,0.0,3,-0.227,0.181,44.0,1
5.2,9.3,8,10.0,1,-0.412,0.62,72.3,2
5.9,9.5,8,18.0,2,-0.218,0.615,60.3,1
5.1,7.7,4,40.0,3,-0.284,0.083,39.8,1
6.8,7.7,6,11.0,4,0.337,0.243,39.2,1
5.0,10.6,9,2.0,3,0.063,0.574,64.0,1
7.9,5.7,3,55.0,4,0.503,0.0,15.1,0
9.1,6.6,3,54.0,3,-0.19,0.124,26.7,0
5.9,10.8,7,0.0,2,-0.058,0.546,64.2,1
3.4,13.5,9,26.0,2,-0.342,0.581,80.2,2
4.5,12.0,8,0.0,2,-0.183,0.734,75.1,2
6.1,7.3,5,18.0,2,-0.437,0.305,51.1,1
4.0,10.6,10,21.0,1,-0.389,0.756,79.6,2
4.7,11.7,10,30.0,2,-0.299,0.674,75.3,2
6.2,7.0,5,51.0,5,0.587,0.0,23.1,0
5.5,9.8,6,21.0,3,-0.207,0.308,54.8,1
9.0,3.4,4,76.0,4,0.357,0.042,14.0,0
8.3,7.6,3,55.0,5,0.787,0.0,11.4,0
6.9,8.5,6,14.0,3,0.306,0.337,44.1,1
6.3,11.0,4,47.0,3,-0.053,0.126,40.3,1
5.1,12.4,9,0.0,1,-0.031,0.72,74.5,2
9.2,5.1,4,48.0,4,0.106,0.109,16.8,0
6.2,7.5,4,36.0,3,0.091,0.232,36.3,1
7.8,8.8,3,22.0,3,0.028,0.145,34.3,1
8.4,7.9,1,33.0,4,0.474,0.0,13.1,0
6.4,12.4,9,14.0,1,-0.695,0.822,77.6,2
5.0,11.1,8,0.0,3,0.145,0.428,66.4,1
8.9,3.0,4,47.0,5,0.666,0.0,9.0,0
4.1,13.4,8,3.0,2,-0.347,0.402,74.8,2
4.6,12.8,8,4.0,2,-0.19,0.334,71.2,2
5.2,9.5,9,19.0,1,-0.335,0.766,70.5,2
7.0,6.3,4,52.0,4,0.434,0.0,17.8,0
6.8,6.1,2,75.0,5,0.572,0.0,13.6,0
6.7,6.6,3,42.0,4,0.575,0.0,21.2,0
8.2,5.0,3,55.0,4,0.227,0.0,12.2,0
4.3,12.9,7,9.0,2,0.071,0.521,65.9,1
7.5,6.8,2,46.0,3,-0.37,0.0,24.8,0
6.3,10.7,7,28.0,1,-0.437,0.412,62.5,1
6.8,9.8,7,13.0,2,-0.259,0.426,56.3,1
8.0,5.5,3,53.0,5,0.814,0.0,7.2,0
5.8,13.7,8,0.0,2,-0.469,0.504,70.7,2
4.1,12.9,8,0.0,2,-0.292,0.693,81.6,2
5.7,10.6,9,36.0,3,-0.156,0.475,60.1,1
3.8,9.4,7,10.0,2,-0.203,0.578,67.5,2
7.6,5.3,3,71.0,5,0.635,0.0,8.2,0
6.4,9.2,7,4.0,3,0.05,0.307,51.1,1
7.7,4.9,3,28.0,4,0.347,0.05,20.2,0
6.1,8.4,10,0.0,1,-0.846,0.879,77.4,2
7.2,8.1,7,52.0,3,0.046,0.267,38.3,1
7.8,3.8,5,70.0,5,0.286,0.047,12.8,0
4.6,10.0,7,0.0,2,-0.52,0.506,65.1,1
7.6,7.5,4,37.0,5,0.695,0.0,17.7,0
6.3,13.2,10,10.0,2,-0.07,0.806,74.8,2
5.7,8.5,5,30.0,4,0.792,0.022,34.4,1
4.2,7.9,8,11.0,3,0.032,0.552,58.5,1
8.0,6.2,1,34.0,4,0.079,0.0,15.4,0
4.3,11.9,8,23.0,1,-0.868,0.602,78.4,2
5.4,13.3,8,9.0,3,0.113,0.733,70.1,2
8.2,5.0,2,48.0,5,0.705,0.0,5.9,0
8.2,6.4,4,34.0,4,0.205,0.126,20.7,0
4.9,11.2,7,11.0,2,-0.075,0.458,66.4,1
7.0,7.6,4,33.0,4,0.511,0.007,27.9,0
6.4,9.5,4,27.0,3,-0.019,0.126,38.8,1
7.1,6.4,4,39.0,5,0.814,0.0,16.3,0
9.6,4.7,4,30.0,4,0.31,0.089,20.8,0
7.0,8.6,2,13.0,5,0.401,0.0,23.1,0
4.4,10.9,9,0.0,2,-0.195,0.685,72.0,2
5.3,12.9,7,33.0,2,-0.503,0.535,63.8,1
5.1,11.9,10,8.0,2,-0.143,0.791,76.8,2
7.0,8.3,6,42.0,4,0.104,0.077,32.4,0
4.2,11.3,9,19.0,2,-0.263,0.673,73.9,2
6.8,10.1,7,29.0,4,0.15,0.438,44.2,1
6.8,4.0,3,59.0,3,-0.267,0.0,22.3,0
7.5,7.3,5,54.0,3,0.158,0.237,34.2,1
9.0,6.2,7,51.0,5,0.568,0.239,21.8,0
4.6,8.4,7,21.0,2,-0.484,0.479,60.8,1
5.9,11.1,9,5.0,2,0.357,0.529,64.3,1
8.3,5.7,2,12.0,4,0.41,0.0,19.3,0
8.8,5.0,1,49.0,5,0.772,0.0,2.0,0
7.2,6.3,1,51.0,4,0.492,0.0,12.1,0
8.2,5.0,1,55.0,5,0.615,0.0,5.6,0
6.9,10.4,9,36.0,2,-0.22,0.67,58.7,1
8.7,7.4,3,57.0,5,0.731,0.0,9.2,0
6.9,7.5,5,42.0,3,0.013,0.295,37.7,1
3.9,10.5,7,0.0,1,-0.459,0.543,78.2,2
5.9,10.0,6,27.0,3,0.202,0.228,43.7,1
8.3,4.9,1,25.0,5,0.717,0.0,4.4,0
4.4,9.9,7,21.0,3,0.015,0.358,60.2,1
3.6,12.6,7,0.0,1,-0.664,0.72,81.6,2
8.7,6.7,3,57.0,4,0.797,0.0,14.2,0
8.5,4.9,1,31.0,5,0.495,0.0,8.8,0
5.6,10.5,9,5.0,2,-0.357,0.652,70.0,2
6.0,7.5,5,56.0,3,-0.205,0.409,39.2,1
4.8,11.0,7,18.0,1,-0.981,0.62,76.0,2
5.4,9.8,10,12.0,2,-0.591,0.929,74.0,2
6.4,7.4,4,40.0,4,0.26,0.164,28.9,0
5.2,8.2,7,12.0,2,-0.437,0.539,63.8,1
3.4,9.9,8,1.0,2,-0.332,0.685,73.0,2
6.9,4.3,2,18.0,4,-0.013,0.0,19.5,0
6.4,10.6,6,46.0,4,0.176,0.262,38.3,1
7.9,3.6,4,41.0,4,-0.226,0.092,25.0,0
5.9,6.2,3,23.0,4,0.08,0.0,27.4,0
6.7,7.6,3,53.0,5,0.662,0.0,15.8,0
7.6,1.5,3,60.0,5,0.574,0.0,5.9,0
8.4,7.3,7,45.0,4,0.402,0.244,29.6,0
8.3,9.3,5,32.0,3,0.158,0.264,37.8,1
6.6,11.9,7,9.0,3,-0.295,0.525,55.5,1
5.3,10.8,9,0.0,2,-0.255,0.637,71.7,2
6.0,6.9,8,39.0,4,0.225,0.393,43.6,1
8.1,4.3,2,21.0,5,0.703,0.0,8.8,0
5.3,9.1,7,0.0,2,-0.386,0.522,59.2,1
8.4,7.4,3,46.0,4,0.544,0.0,16.7,0
8.9,5.8,1,33.0,4,0.529,0.0,15.8,0
8.5,5.3,4,51.0,5,0.52,0.0,12.6,0
7.0,8.3,4,36.0,3,-0.144,0.075,35.9,1
6.1,5.3,1,75.0,4,-0.069,0.0,20.0,0
8.0,4.8,4,50.0,4,0.414,0.098,13.7,0
6.6,9.8,5,15.0,4,0.143,0.096,34.3,1
5.5,7.5,7,17.0,4,0.46,0.202,44.3,1
9.8,4.3,2,50.0,3,-0.209,0.0,18.1,0
6.2,7.0,7,28.0,3,0.083,0.358,45.5,1
8.6,6.3,1,62.0,4,0.714,0.0,6.2,0
6.9,4.8,5,21.0,3,0.114,0.181,30.9,0
6.3,8.2,7,26.0,3,0.026,0.373,46.7,1
8.3,4.5,3,52.0,5,0.496,0.0,11.1,0
8.0,10.1,5,42.0,4,0.253,0.042,26.2,0
6.1,7.6,6,36.0,3,-0.058,0.319,39.4,1
7.3,5.0,4,35.0,5,0.521,0.0,18.8,0
6.4,6.9,6,10.0,3,-0.154,0.29,45.5,1
6.3,9.2,8,0.0,3,-0.304,0.521,60.0,1
7.2,5.4,2,25.0,5,0.482,0.0,15.0,0
7.7,7.3,6,49.0,4,0.506,0.192,28.4,0
7.6,5.8,4,54.0,5,0.603,0.0,14.2,0
5.1,7.3,7,25.0,3,0.328,0.496,52.2,1
9.8,7.6,1,60.0,5,0.85,0.0,5.9,0
6.0,8.3,6,24.0,3,0.212,0.341,47.8,1
5.3,11.5,10,0.0,3,0.101,0.667,68.7,2
10.8,4.9,1,44.0,2,-0.102,0.105,14.2,0
6.1,9.3,4,44.0,3,0.102,0.075,38.0,1
8.3,7.2,3,41.0,4,0.378,0.0,22.7,0
5.5,7.7,3,36.0,4,0.466,0.0,29.4,0
8.7,6.6,3,37.0,4,0.273,0.0,22.9,0
9.6,6.0,3,43.0,3,0.2,0.096,21.5,0
7.1,4.3,3,15.0,4,0.253,0.03,24.9,0
4.5,12.7,7,15.0,2,-0.711,0.387,68.9,2
9.6,5.7,4,44.0,5,0.617,0.0,12.3,0
6.3,8.4,7,43.0,4,0.231,0.144,35.8,1
7.0,8.5,5,31.0,2,-0.321,0.379,45.5,1
8.1,5.3,2,41.0,4,0.353,0.0,12.4,0
7.0,5.7,3,44.0,4,0.066,0.014,19.9,0
6.2,12.6,8,10.0,2,-0.229,0.517,67.7,2
3.6,10.5,6,29.0,2,-0.304,0.502,68.3,2
5.5,5.1,5,37.0,4,0.497,0.142,29.1,0
4.6,10.1,6,17.0,2,0.003,0.384,60.2,1
4.6,12.8,7,3.0,1,-0.805,0.727,81.9,2
9.7,6.4,5,42.0,4,0.684,0.223,23.2,0
5.6,7.9,6,30.0,2,-0.308,0.502,54.1,1
6.9,9.5,3,25.0,2,-0.257,0.043,45.0,1
7.9,9.7,6,22.0,4,0.63,0.24,35.2,1
7.5,6.9,7,8.0,3,-0.211,0.36,42.9,1
6.9,12.6,8,8.0,2,-0.171,0.591,64.6,1
6.5,11.9,8,1.0,2,-0.225,0.61,67.4,2
6.2,5.6,3,58.0,4,0.338,0.0,18.6,0
8.7,6.8,3,53.0,5,0.685,0.0,8.9,0
9.8,4.8,2,37.0,5,0.405,0.0,9.6,0
9.1,6.3,3,54.0,4,0.366,0.0,15.5,0
8.2,9.2,4,46.0,4,0.678,0.027,23.5,0
7.4,6.9,3,10.0,3,0.023,0.036,31.4,0
6.1,9.5,8,6.0,5,0.677,0.233,43.5,1
7.7,2.8,3,45.0,5,0.381,0.0,15.6,0
7.5,7.6,6,25.0,3,-0.042,0.213,41.2,1
6.3,9.6,6,34.0,3,-0.296,0.375,49.3,1
8.6,6.6,1,49.0,5,0.587,0.0,2.1,0
5.2,10.8,9,9.0,2,0.108,0.724,68.2,2
8.7,3.8,3,54.0,5,0.495,0.0,5.9,0
8.0,8.0,5,26.0,4,0.547,0.07,26.3,0
7.7,5.7,2,57.0,3,0.2,0.003,16.0,0
9.4,7.1,2,47.0,4,0.144,0.0,13.4,0
5.1,8.0,6,20.0,3,0.025,0.308,51.5,1
4.7,7.9,3,59.0,2,-0.078,0.259,42.7,1
4.5,8.4,8,25.0,1,-0.993,0.685,74.5,2
5.2,9.7,8,23.0,3,0.096,0.499,57.2,1
3.4,13.6,8,6.0,1,-0.456,0.704,87.6,2
7.4,7.4,7,39.0,4,0.298,0.332,34.4,1
6.0,8.8,6,14.0,3,0.129,0.282,48.9,1
8.5,6.6,5,52.0,5,0.455,0.0,15.1,0
4.8,9.6,8,39.0,2,-0.216,0.45,62.0,1
8.6,5.3,2,52.0,5,0.442,0.0,11.4,0
5.9,9.4,5,38.0,3,-0.152,0.291,44.7,1
6.9,6.9,3,38.0,5,0.44,0.0,16.9,0
5.0,11.5,9,16.0,2,-0.503,0.661,74.7,2
6.8,8.2,7,33.0,3,0.162,0.414,41.3,1
7.3,7.0,5,38.0,4,0.511,0.269,29.0,0
6.7,8.2,4,32.0,3,-0.038,0.132,34.5,1
3.0,10.0,10,9.0,2,-0.107,0.681,79.4,2
8.1,7.2,3,28.0,4,0.281,0.0,18.8,0
9.7,5.9,2,33.0,3,-0.219,0.055,25.5,0
5.1,11.6,9,5.0,1,-0.827,0.726,76.9,2
7.4,8.8,7,20.0,4,0.473,0.343,40.8,1
5.5,8.2,6,29.0,4,0.382,0.195,40.4,1
8.0,7.1,4,68.0,4,0.336,0.029,19.0,0
8.7,6.9,5,42.0,3,0.27,0.199,28.9,0
8.9,6.4,3,31.0,4,0.235,0.0,21.9,0
7.9,7.2,3,61.0,5,0.719,0.0,10.9,0
8.5,6.0,2,55.0,5,0.727,0.0,6.1,0
7.5,9.9,5,25.0,3,0.236,0.343,41.7,1
6.5,8.7,5,39.0,3,0.161,0.218,41.7,1
4.6,11.6,8,0.0,2,-0.281,0.552,73.3,2
7.2,7.6,4,27.0,4,0.425,0.044,28.0,0
8.9,4.8,3,53.0,4,0.223,0.0,15.4,0
4.5,9.4,5,43.0,4,0.177,0.201,42.6,1
7.6,6.8,5,57.0,5,0.206,0.051,18.7,0
5.1,11.1,8,8.0,3,0.348,0.614,62.2,1
4.7,12.1,7,18.0,2,-0.537,0.493,69.7,2
8.0,7.7,4,45.0,3,0.275,0.164,26.1,0
5.7,9.1,10,10.0,3,0.228,0.577,60.6,1
3.5,9.9,8,0.0,1,-0.891,0.712,79.0,2
4.7,9.8,6,18.0,3,-0.137,0.23,53.2,1
6.1,6.2,6,44.0,3,0.131,0.319,39.8,1
7.3,7.9,3,35.0,5,0.67,0.0,17.0,0
8.4,8.2,7,31.0,4,0.191,0.32,37.2,1
3.8,12.5,9,11.0,3,-0.048,0.317,67.8,2
7.3,7.8,6,36.0,4,0.472,0.087,33.8,0
7.5,4.6,6,70.0,5,0.438,0.133,17.7,0
5.0,11.3,8,13.0,1,-0.272,0.651,76.3,2
4.9,10.8,9,23.0,2,-0.056,0.673,70.1,2
9.3,6.1,1,72.0,5,0.337,0.0,8.7,0
5.6,9.0,4,0.0,2,-0.009,0.313,52.4,1
8.3,8.1,5,42.0,3,-0.104,0.16,31.4,0
7.6,9.5,8,0.0,5,0.828,0.232,37.8,1
8.7,5.7,3,35.0,5,0.717,0.0,13.3,0
9.2,6.9,4,53.0,4,0.04,0.0,18.4,0
6.9,5.5,3,81.0,4,0.218,0.021,17.0,0
7.1,4.5,3,76.0,3,-0.256,0.052,25.2,0
6.9,7.0,3,9.0,3,0.124,0.0,32.6,0
7.7,8.5,6,19.0,3,-0.058,0.42,39.2,1
8.2,8.1,6,30.0,2,-0.325,0.392,43.3,1
9.0,4.8,1,35.0,5,0.552,0.0,5.0,0
8.5,5.8,3,29.0,5,0.587,0.0,9.3,0
7.4,5.9,5,40.0,3,-0.111,0.199,30.1,0
4.5,12.0,9,6.0,2,-0.047,0.686,74.1,2
3.8,12.1,9,10.0,2,-0.673,0.604,81.4,2
8.8,6.0,1,31.0,4,-0.185,0.0,17.5,0
7.9,7.8,6,25.0,3,-0.086,0.385,39.9,1
6.5,11.5,9,0.0,1,-0.711,0.804,76.7,2
6.2,8.2,6,48.0,3,0.131,0.337,41.0,1
9.3,6.1,3,68.0,4,0.384,0.055,13.2,0
9.1,6.1,7,19.0,3,-0.22,0.311,37.8,1
7.4,7.0,7,55.0,3,0.18,0.419,37.2,1
8.5,6.8,2,30.0,5,0.642,0.0,9.7,0
